210	249	10029
212	251	3721
232	270	9147
234	275	9139
235	281	10817
237	218	10435
241	291	10874
242	292	9988
244	296	10946
3441	468	10125
6934	2169	18646
532	236	10054
3449	824	2005
2224	911	8462
1747	769	10817
254	307	10641
1748	769	9139
6473	2315	19103
3311	1078	2822
258	315	9557
2442	988	9904
2228	914	1556
2448	992	10835
925	690	2121
8447	3350	24626
264	227	9139
265	241	10039
3613	593	998
3462	976	12345
1170	192	9939
8460	2530	18873
3162	913	1507
271	321	9943
272	326	9142
1282	772	966
274	328	10129
2646	918	1506
3467	111	2469
2044	845	7369
2240	923	1662
2048	219	9981
1609	798	9604
2244	934	11458
1610	798	10130
3621	1053	9910
284	336	11177
4067	1278	16183
1210	770	9485
8473	3368	19097
288	342	10064
290	230	10040
3007	687	10418
292	337	9874
573	547	10425
576	514	11478
964	441	10487
3487	107	9387
1452	788	9598
1611	798	9153
2272	748	10257
301	353	9592
302	354	10555
2273	748	9612
1621	795	9610
1463	790	9608
2664	180	9632
314	365	10000
3491	314	9989
1467	794	10136
585	555	11576
3641	266	9442
1471	800	11405
2281	759	10260
3646	624	9489
330	369	9938
3503	935	11438
2481	1004	10029
3650	836	2120
3832	539	11435
3201	1066	11184
3659	785	9381
3664	1102	9186
350	206	11194
352	399	10958
615	560	10080
3364	1039	9920
362	413	9135
3672	1113	14007
366	415	9937
368	417	11088
2092	855	1030
370	406	9941
3676	1116	13990
372	419	9132
3533	506	9860
3377	997	9901
3684	1124	14240
377	422	9942
2497	138	10125
2333	951	11799
3545	1098	8272
383	423	10462
1815	116	1262
2876	590	11374
387	427	10057
3218	440	10105
1372	680	9129
3053	588	10915
1380	438	10477
3554	677	10014
3558	226	9900
396	434	10530
3865	1166	14427
3869	1171	14916
399	444	9936
3567	143	10709
402	229	9596
3576	485	9911
3402	1093	8281
3580	156	10736
3585	1099	996
1988	841	7800
2145	887	2490
412	452	10065
413	453	9935
3885	1179	14449
3891	1180	14549
3597	488	9805
3708	179	10688
420	458	9969
1410	551	2501
1841	830	1600
3414	187	10293
3903	1182	14118
3720	1139	14295
3422	694	10668
2772	474	2748
2153	886	2919
2378	965	6728
2382	968	9518
3099	1076	10128
3426	136	9468
3724	639	1253
2546	194	9953
3434	323	9923
2386	484	9641
439	471	8508
3732	22	9749
1582	811	6983
3915	1192	14584
3740	66	9905
2161	492	11369
1081	740	10257
3923	1196	12739
3927	1199	11538
451	242	10135
3936	1202	14513
1090	196	9940
679	611	11617
458	486	10641
2192	899	5704
461	489	9140
1738	820	9914
2788	483	9786
3272	74	11362
2204	901	8264
467	264	10463
3961	1211	14623
3969	1215	14747
476	495	9138
2812	361	9987
478	496	10818
2424	981	6757
2428	967	8402
3973	1217	15146
3977	1220	15059
2577	758	8747
2578	758	9797
3985	1232	18
2591	743	9648
3997	1240	15297
2605	729	9605
4005	1243	15291
4009	1152	14418
4013	1249	15597
499	373	10152
501	509	11611
715	398	10460
718	631	10468
6935	2494	19667
512	132	10470
3446	979	12348
514	130	10473
7677	1472	16613
1283	773	1957
2439	751	9646
1758	96	10693
5980	1983	17830
2225	910	9237
2443	986	9876
2815	351	10853
3138	1003	11184
2229	915	10365
1289	72	10264
3618	805	11035
2233	922	1857
929	699	1431
3622	190	10149
4925	1416	16518
2241	927	6526
1171	347	10514
4068	1282	15824
2823	231	10061
2245	933	11456
3463	766	8769
4071	1281	15738
3632	466	10051
3638	627	1095
3642	867	8248
5987	1484	18075
1464	791	9154
580	552	2002
3000	1071	2343
2257	936	2919
2261	42	9539
1778	445	10495
1925	641	1097
3651	836	10149
3655	682	10682
3464	766	9645
767	612	11413
2840	1067	11180
1340	482	2031
616	561	748
1203	391	9587
2674	728	10094
3332	117	10240
965	513	11483
2683	1056	2783
632	563	10733
1211	592	985
1215	543	11229
641	238	10065
2684	1056	1504
