id,questionresponse_id,match_id
974,373180,70531
975,365130,68383
976,365130,67443
977,365130,70373
8111,386748,73580
979,365698,75620
8112,386748,72162
99484,451673,86669
982,365698,67250
983,373159,64251
984,373159,64903
985,380203,69547
986,380203,67943
987,380203,66432
8114,386748,72307
71933,438198,80898
25762,398912,73527
991,378497,67789
25763,398912,77017
37737,402684,75312
994,376501,70330
995,377395,70272
996,377395,66141
997,377395,69391
998,377395,70352
999,378489,70439
8352,384347,76163
16921,386615,74748
1002,378489,67143
1003,378026,70073
1005,378026,68609
1006,378026,70531
8465,386350,74529
1008,361447,67326
16922,386615,75266
37738,402684,76672
16923,386615,78013
1012,377012,70073
100452,460645,78889
1014,377012,68609
1015,377012,70531
1016,379240,69458
1017,379240,64011
1018,379240,69108
1019,379240,69877
1020,378489,69676
17136,388496,73666
17137,388496,77005
17138,388496,73833
1024,371575,70715
100453,460645,78174
53810,422336,73133
8583,382950,70341
8584,382950,70274
8669,388385,78128
1030,375941,69881
17139,388496,71185
1032,375941,64028
8671,388385,72260
1034,371595,70264
37739,402684,77929
1036,371595,70715
8741,385772,74337
1038,380456,67976
17508,382329,72485
1040,380456,68287
1041,380456,68154
1042,377108,69865
133377,475134,89384
1044,377108,66133
1045,377108,64017
1046,376470,69873
1047,376470,66366
1048,376470,70344
1049,376470,69663
134455,409507,67862
8743,385772,73007
1052,376792,67094
1053,376792,67209
8744,385772,73319
8815,388008,76632
1057,379547,69948
1058,379547,69107
1059,379547,64012
1060,379547,69474
8816,388008,72414
1062,380148,65847
1063,380148,67451
54338,403733,74030
38093,409541,76796
1066,374632,69082
54837,421877,83310
1068,374632,68148
26953,391391,70887
1070,377148,69894
1071,377148,70193
1072,377148,68763
1073,377349,70340
1074,377349,69904
1076,377349,64021
38095,409541,77763
1078,366475,70264
38096,409541,73562
1080,366475,70715
17511,382329,73982
38430,384595,76259
1085,375144,67128
1086,375144,67223
1087,375144,68424
1088,375144,67090
17683,394719,70489
1090,380506,67503
1091,380506,67217
1092,380506,67129
